controller,grid,scenario,seed,simulation_duration_s,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,completion_of_departed_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,mean_step_waiting_time,mean_vehicle_count,teleports_started,teleports_ended,active_at_end,min_expected_at_end,tls_count,active_program,peak_process_tree_ram_mb,simulation_loop_runtime_s,total_wall_runtime_s,tripinfo_arrival_match,step_file,tripinfo_file,status
webster_fixed,2x2,high,11,1800,3000,1692,472,15.733333333333333,27.89598108747045,253.46186440677965,129.83262711864407,184.9517372881356,69.81458333333333,100,9796.100694444445,81.83680555555556,94,46,1185,2528,4,a,114.421875,9.734340874943882,10.807404666906223,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed11_tripinfo.xml,PASS
webster_fixed,2x2,high,12,1800,3000,1702,496,16.53333333333333,29.142185663924796,259.44959677419354,131.41129032258064,189.29370967741934,69.49583333333334,100,9203.739583333334,81.59027777777777,91,50,1180,2504,4,a,114.375,9.719377542030998,10.80555504199583,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed12_tripinfo.xml,PASS
webster_fixed,2x2,high,13,1800,3000,1678,456,15.2,27.175208581644817,267.3157894736842,141.1469298245614,194.04616228070176,69.87430555555555,100,7459.328472222222,81.36597222222223,77,36,1200,2544,4,a,114.640625,9.759122792049311,10.841009708005004,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed13_tripinfo.xml,PASS
webster_fixed,2x2,high,14,1800,3000,1677,460,15.333333333333332,27.42993440667859,258.3934782608696,137.0086956521739,193.39004347826088,69.9798611111111,100,7693.416666666667,81.64027777777778,76,43,1195,2540,4,a,114.65625,9.71004933398217,10.799825291964225,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed14_tripinfo.xml,PASS
webster_fixed,2x2,high,15,1800,3000,1656,445,14.833333333333334,26.871980676328505,254.52359550561798,132.97752808988764,178.1230786516854,71.44930555555555,100,9734.320138888888,80.45138888888889,97,49,1182,2555,4,a,114.453125,9.837229333003052,10.926697458024137,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_high_seed15_tripinfo.xml,PASS
actuated,2x2,low,11,1800,600,600,572,95.33333333333334,95.33333333333334,80.79020979020979,4.631118881118881,17.494702797202798,0.35,4,1.6430555555555555,2.829861111111111,0,0,28,28,4,0,90.40625,8.550485917017795,9.601181624922901,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed11_tripinfo.xml,PASS
actuated,2x2,low,12,1800,600,600,571,95.16666666666667,95.16666666666667,82.06830122591944,5.350262697022767,18.473134851138354,0.3861111111111111,8,1.8229166666666667,2.8875,0,0,29,29,4,0,89.71875,8.518328040954657,9.566233917023055,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed12_tripinfo.xml,PASS
actuated,2x2,low,13,1800,600,600,573,95.5,95.5,81.95287958115183,4.50087260034904,17.84261780104712,0.33611111111111114,4,1.542361111111111,2.8375,0,0,27,27,4,0,89.828125,8.47630525007844,9.521190124913119,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed13_tripinfo.xml,PASS
actuated,2x2,low,14,1800,600,600,574,95.66666666666667,95.66666666666667,82.05574912891986,4.900696864111498,18.107473867595818,0.36666666666666664,4,1.6701388888888888,2.8666666666666667,0,0,26,26,4,0,90.234375,8.464350791065954,9.512133207987063,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed14_tripinfo.xml,PASS
actuated,2x2,low,15,1800,600,600,571,95.16666666666667,95.16666666666667,81.07355516637477,4.686514886164623,17.477145359019264,0.34097222222222223,4,1.6291666666666667,2.817361111111111,0,0,29,29,4,0,89.671875,8.43813633301761,9.480465041007847,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_low_seed15_tripinfo.xml,PASS
