algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
dqn,medium,24,8640,-216.37500000000003,-163.60000000000005,-226.40000000000003,-272.59999999999997,-202.89999999999995
dqn,medium,25,9000,-236.3,-235.0000000000002,-255.59999999999994,-189.1999999999999,-265.40000000000003
dqn,medium,26,9360,-234.62500000000003,-282.9000000000002,-194.8,-291.49999999999983,-169.30000000000004
dqn,medium,27,9720,-213.09999999999994,-209.1999999999997,-218.20000000000016,-237.3999999999998,-187.60000000000005
dqn,medium,28,10080,-226.75000000000006,-237.39999999999998,-209.0,-275.50000000000006,-185.10000000000008
dqn,medium,29,10440,-205.85000000000016,-251.00000000000028,-195.90000000000023,-214.00000000000026,-162.49999999999991
dqn,medium,30,10800,-201.57499999999993,-216.3,-206.79999999999995,-224.19999999999982,-159.00000000000006
dqn,medium,31,11160,-206.67499999999995,-198.29999999999984,-218.1999999999999,-251.7,-158.5
dqn,medium,32,11520,-198.59999999999997,-180.0000000000001,-216.20000000000002,-229.79999999999998,-168.3999999999998
dqn,medium,33,11880,-216.47500000000005,-187.29999999999993,-198.9000000000002,-297.1000000000001,-182.6
dqn,medium,34,12240,-213.39999999999998,-187.59999999999994,-199.80000000000004,-270.5,-195.7
dqn,medium,35,12600,-217.90000000000003,-208.50000000000009,-230.50000000000017,-274.99999999999994,-157.5999999999999
dqn,medium,36,12960,-211.64999999999998,-155.2000000000001,-182.30000000000004,-266.4999999999998,-242.59999999999997
dqn,medium,37,13320,-216.1500000000001,-208.20000000000013,-262.60000000000014,-235.29999999999998,-158.5000000000001
dqn,medium,38,13680,-271.7749999999999,-207.09999999999994,-233.40000000000006,-339.4000000000001,-307.19999999999965
dqn,medium,39,14040,-207.02500000000003,-215.4,-219.59999999999997,-224.49999999999997,-168.60000000000014
dqn,medium,40,14400,-205.0,-207.99999999999994,-171.60000000000005,-267.6,-172.79999999999993
dqn,medium,41,14760,-203.50000000000009,-158.40000000000015,-221.7000000000001,-273.3,-160.6
dqn,medium,42,15120,-232.07500000000002,-151.09999999999997,-209.30000000000007,-385.9,-182.0000000000001
dqn,medium,43,15480,-212.7750000000001,-209.70000000000002,-173.79999999999998,-281.3000000000004,-186.29999999999993
dqn,medium,44,15840,-199.07500000000005,-170.10000000000014,-159.49999999999997,-296.4,-170.30000000000013
dqn,medium,45,16200,-198.20000000000005,-181.90000000000003,-201.7000000000001,-217.9999999999999,-191.2000000000001
dqn,medium,46,16560,-200.14999999999998,-171.80000000000013,-182.70000000000013,-292.6999999999997,-153.39999999999998
dqn,medium,47,16920,-211.87499999999994,-164.1999999999998,-236.40000000000006,-268.8999999999999,-178.00000000000003
dqn,medium,48,17280,-200.45000000000005,-223.70000000000016,-180.70000000000005,-206.5999999999999,-190.80000000000013
dqn,medium,49,17640,-195.7000000000001,-190.90000000000018,-182.2000000000001,-259.6,-150.1000000000001
dqn,medium,50,18000,-174.52500000000003,-203.7999999999999,-154.10000000000014,-175.7,-164.5000000000001
dqn,medium,51,18360,-185.20000000000007,-172.30000000000024,-175.70000000000005,-243.50000000000009,-149.29999999999995
dqn,medium,52,18720,-228.82499999999993,-293.6999999999999,-198.89999999999995,-259.3999999999999,-163.29999999999998
dqn,medium,53,19080,-193.65000000000003,-179.19999999999993,-214.50000000000003,-223.8,-157.10000000000016
dqn,medium,54,19440,-183.37500000000009,-144.1999999999999,-158.60000000000002,-262.80000000000024,-167.90000000000023
dqn,medium,55,19800,-190.82500000000002,-188.99999999999997,-187.19999999999993,-198.40000000000003,-188.70000000000016
dqn,medium,56,20160,-207.10000000000008,-232.10000000000008,-205.0,-241.10000000000025,-150.20000000000002
dqn,medium,57,20520,-196.42500000000004,-204.39999999999998,-206.20000000000002,-218.90000000000003,-156.20000000000013
