algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_C1,reward_C2
dqn,2x2,medium,27,9720,-229.6,0.7361985714285715,-211.90000000000012,-253.09999999999997,-272.5999999999998,-180.80000000000004
dqn,2x2,medium,28,10080,-230.47500000000005,0.7264271428571429,-216.2,-226.00000000000009,-290.2000000000001,-189.50000000000014
dqn,2x2,medium,29,10440,-212.0500000000001,0.7166557142857144,-240.70000000000016,-182.40000000000003,-246.89999999999998,-178.20000000000016
dqn,2x2,medium,30,10800,-214.07500000000013,0.7068842857142857,-218.70000000000002,-155.20000000000005,-301.10000000000025,-181.30000000000015
dqn,2x2,medium,31,11160,-226.59999999999997,0.6971128571428572,-227.09999999999985,-209.90000000000012,-276.3999999999998,-192.99999999999997
dqn,2x2,medium,32,11520,-227.05000000000007,0.6873414285714285,-250.80000000000013,-210.2000000000002,-228.0999999999999,-219.10000000000002
dqn,2x2,medium,33,11880,-201.80000000000004,0.67757,-198.2,-199.50000000000014,-225.19999999999996,-184.30000000000004
dqn,2x2,medium,34,12240,-216.25,0.6677985714285715,-246.5,-195.6999999999999,-232.00000000000009,-190.79999999999995
dqn,2x2,medium,35,12600,-218.10000000000005,0.6580271428571429,-212.3000000000002,-174.40000000000003,-277.89999999999986,-207.80000000000007
dqn,2x2,medium,36,12960,-219.07500000000002,0.6482557142857144,-263.50000000000006,-196.29999999999987,-285.1,-131.40000000000006
dqn,2x2,medium,37,13320,-839.95,0.6384842857142857,-1505.7999999999997,-1100.2000000000003,-595.8000000000002,-157.99999999999994
dqn,2x2,medium,38,13680,-208.0250000000001,0.6287128571428572,-200.30000000000013,-204.9,-288.1000000000002,-138.7999999999999
dqn,2x2,medium,39,14040,-198.92499999999995,0.6189414285714285,-205.3999999999998,-232.30000000000004,-207.89999999999995,-150.10000000000002
dqn,2x2,medium,40,14400,-231.8499999999998,0.60917,-204.20000000000002,-241.39999999999995,-294.6999999999996,-187.09999999999974
dqn,2x2,medium,41,14760,-201.22500000000008,0.5993985714285714,-183.9,-190.70000000000022,-262.2000000000001,-168.09999999999985
dqn,2x2,medium,42,15120,-222.72499999999997,0.5896271428571429,-169.99999999999997,-214.00000000000006,-315.49999999999983,-191.4000000000001
dqn,2x2,medium,43,15480,-205.00000000000006,0.5798557142857144,-240.00000000000009,-205.4,-233.40000000000015,-141.20000000000005
dqn,2x2,medium,44,15840,-190.4,0.5700842857142858,-168.70000000000005,-202.00000000000006,-225.7999999999999,-165.1
dqn,2x2,medium,45,16200,-230.54999999999998,0.5603128571428572,-239.99999999999997,-206.40000000000006,-277.5999999999998,-198.20000000000013
dqn,2x2,medium,46,16560,-194.47500000000008,0.5505414285714285,-161.0000000000002,-193.49999999999997,-224.90000000000012,-198.5
dqn,2x2,medium,47,16920,-194.0,0.54077,-206.40000000000006,-168.59999999999988,-229.1000000000001,-171.9
