algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,87,31320,-124.63333333333338,244,-97.3000000000001,-110.80000000000008,-122.00000000000006,-124.20000000000005,-160.9000000000001,-144.89999999999998,-108.40000000000002,-129.40000000000006,-123.80000000000001
ppo,3x3,medium,88,31680,-120.7555555555556,247,-102.39999999999998,-106.10000000000001,-104.40000000000005,-127.20000000000003,-134.90000000000003,-137.30000000000018,-130.1,-126.39999999999999,-118.00000000000007
ppo,3x3,medium,89,32040,-127.04444444444448,250,-99.39999999999995,-116.30000000000005,-111.4,-116.30000000000001,-168.89999999999992,-163.50000000000009,-124.40000000000006,-130.10000000000002,-113.10000000000007
ppo,3x3,medium,90,32400,-129.74444444444444,253,-87.79999999999997,-123.90000000000005,-127.89999999999998,-139.2,-180.3000000000001,-131.89999999999998,-107.30000000000013,-137.79999999999993,-131.60000000000005
ppo,3x3,medium,91,32760,-123.02222222222225,255,-104.0000000000001,-126.00000000000009,-107.70000000000016,-134.20000000000002,-131.40000000000006,-118.00000000000006,-126.49999999999993,-145.09999999999997,-114.30000000000007
ppo,3x3,medium,92,33120,-134.85555555555558,258,-101.1,-136.3000000000001,-131.50000000000009,-151.60000000000005,-159.6000000000001,-151.60000000000008,-120.00000000000001,-140.49999999999994,-121.50000000000007
ppo,3x3,medium,93,33480,-126.87777777777781,261,-107.60000000000005,-132.3,-111.90000000000003,-132.90000000000015,-129.99999999999994,-133.50000000000006,-124.9999999999999,-135.20000000000007,-133.49999999999991
ppo,3x3,medium,94,33840,-129.43333333333337,264,-100.50000000000007,-127.1,-123.70000000000005,-133.70000000000002,-152.39999999999998,-139.90000000000003,-133.80000000000004,-122.59999999999997,-131.2
ppo,3x3,medium,95,34200,-122.0555555555556,267,-106.09999999999994,-106.60000000000005,-102.90000000000005,-135.4,-147.40000000000018,-117.90000000000012,-116.59999999999997,-137.10000000000005,-128.50000000000003
ppo,3x3,medium,96,34560,-132.66666666666666,270,-113.40000000000003,-116.40000000000012,-110.9000000000001,-140.69999999999996,-149.49999999999997,-160.70000000000005,-131.8999999999999,-141.89999999999998,-128.6
ppo,3x3,medium,97,34920,-130.52222222222224,272,-111.90000000000006,-123.60000000000005,-117.60000000000004,-131.09999999999997,-156.4,-155.80000000000007,-114.50000000000006,-143.50000000000014,-120.30000000000004
ppo,3x3,medium,98,35280,-127.33333333333339,275,-98.19999999999999,-135.70000000000005,-135.3000000000001,-115.00000000000006,-147.4,-155.80000000000004,-120.50000000000011,-133.8,-104.30000000000007
ppo,3x3,medium,99,35640,-121.84444444444446,278,-97.40000000000002,-127.10000000000001,-116.49999999999996,-130.60000000000005,-137.6,-111.39999999999999,-118.39999999999996,-136.20000000000005,-121.39999999999999
ppo,3x3,medium,100,36000,-113.23333333333338,281,-93.79999999999997,-107.10000000000007,-91.50000000000001,-124.70000000000013,-126.00000000000006,-107.30000000000007,-111.10000000000004,-134.30000000000004,-123.30000000000001
ppo,3x3,medium,101,36360,-132.9888888888889,284,-120.20000000000002,-113.0,-118.49999999999997,-149.30000000000004,-147.10000000000002,-149.70000000000002,-125.80000000000003,-125.30000000000005,-148.0
ppo,3x3,medium,102,36720,-127.30000000000003,286,-106.80000000000007,-124.19999999999996,-99.20000000000007,-149.3000000000001,-159.50000000000006,-124.89999999999996,-112.80000000000001,-138.10000000000002,-130.9
ppo,3x3,medium,103,37080,-129.05555555555557,289,-100.00000000000001,-117.80000000000005,-121.90000000000015,-154.0999999999999,-161.39999999999992,-124.80000000000008,-133.3000000000001,-145.2,-102.99999999999994
ppo,3x3,medium,104,37440,-128.2111111111111,292,-105.2,-123.00000000000006,-110.3000000000001,-136.10000000000005,-161.40000000000018,-157.29999999999978,-115.20000000000002,-135.7999999999999,-109.60000000000007
ppo,3x3,medium,105,37800,-129.7444444444445,295,-98.8000000000001,-121.60000000000004,-131.89999999999998,-154.60000000000005,-141.5000000000001,-133.00000000000006,-126.60000000000008,-136.8,-122.90000000000008
ppo,3x3,medium,106,38160,-119.56666666666668,298,-84.99999999999997,-119.40000000000006,-114.00000000000007,-135.40000000000003,-131.30000000000004,-137.40000000000003,-113.3,-119.80000000000003,-120.50000000000004
ppo,3x3,medium,107,38520,-122.68888888888893,300,-90.49999999999999,-105.40000000000005,-101.19999999999996,-116.70000000000013,-161.60000000000008,-137.00000000000006,-126.40000000000003,-136.4,-129.00000000000003
ppo,3x3,medium,108,38880,-210.18888888888887,303,-93.00000000000007,-118.20000000000005,-136.39999999999998,-113.30000000000004,-137.30000000000007,-916.9999999999997,-118.99999999999997,-125.80000000000003,-131.70000000000013
ppo,3x3,medium,109,39240,-120.74444444444447,306,-107.50000000000003,-114.90000000000008,-131.80000000000007,-129.60000000000005,-134.89999999999998,-111.10000000000005,-108.60000000000012,-133.60000000000002,-114.69999999999997
ppo,3x3,medium,110,39600,-132.42222222222222,309,-98.29999999999994,-123.89999999999998,-147.40000000000012,-148.49999999999997,-145.1000000000001,-148.59999999999997,-120.60000000000007,-134.29999999999987,-125.10000000000005
ppo,3x3,medium,111,39960,-129.9555555555556,312,-103.79999999999997,-129.20000000000007,-107.2000000000001,-131.2,-167.8000000000001,-153.7000000000001,-119.19999999999997,-138.6,-118.90000000000008
ppo,3x3,medium,112,40320,-118.20000000000002,315,-91.70000000000002,-103.4,-93.89999999999996,-124.7,-138.20000000000002,-144.40000000000018,-133.3,-118.79999999999993,-115.40000000000009
ppo,3x3,medium,113,40680,-126.44444444444444,317,-110.90000000000002,-109.60000000000004,-122.10000000000008,-141.6,-140.6,-147.5,-117.50000000000003,-123.59999999999998,-124.59999999999994
ppo,3x3,medium,114,41040,-125.13333333333338,320,-113.5,-106.2,-98.19999999999999,-123.80000000000008,-136.40000000000003,-155.70000000000016,-134.60000000000002,-145.60000000000014,-112.2
ppo,3x3,medium,115,41400,-126.42222222222227,323,-97.80000000000001,-115.00000000000001,-110.30000000000011,-141.80000000000015,-156.00000000000009,-144.80000000000013,-111.59999999999995,-127.49999999999997,-133.00000000000006
ppo,3x3,medium,116,41760,-125.3777777777778,326,-111.00000000000007,-115.99999999999999,-123.39999999999995,-123.79999999999993,-141.80000000000013,-145.70000000000005,-99.50000000000004,-139.1,-128.10000000000005
ppo,3x3,medium,117,42120,-134.35555555555558,329,-93.89999999999998,-123.10000000000018,-149.49999999999994,-138.49999999999997,-160.40000000000003,-127.90000000000003,-133.49999999999994,-143.50000000000003,-138.9
ppo,3x3,medium,118,42480,-122.77777777777783,331,-86.4,-128.7000000000001,-112.10000000000001,-144.00000000000026,-133.39999999999998,-136.49999999999991,-117.80000000000005,-124.2,-121.9
