algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
dqn,3x3,medium,127,45720,-106.8,0.05,-98.3,-88.60000000000004,-99.40000000000002,-134.89999999999992,-112.60000000000001,-98.30000000000004,-119.69999999999997,-87.89999999999995,-121.50000000000004
dqn,3x3,medium,128,46080,-107.90000000000002,0.05,-90.20000000000005,-86.20000000000006,-95.30000000000001,-115.59999999999994,-155.6000000000001,-120.6,-105.79999999999998,-119.49999999999996,-82.29999999999998
dqn,3x3,medium,129,46440,-109.61111111111109,0.05,-85.09999999999991,-84.39999999999996,-90.79999999999993,-136.00000000000017,-136.79999999999998,-118.30000000000003,-105.1999999999999,-122.29999999999997,-107.59999999999997
dqn,3x3,medium,130,46800,-100.05555555555559,0.05,-75.30000000000004,-97.79999999999995,-99.70000000000005,-90.50000000000001,-116.60000000000004,-116.79999999999998,-98.4,-112.2,-93.20000000000006
dqn,3x3,medium,131,47160,-107.99999999999999,0.05,-74.09999999999992,-92.09999999999997,-98.59999999999997,-120.59999999999997,-134.70000000000005,-134.5999999999999,-94.20000000000009,-108.69999999999996,-114.40000000000006
dqn,3x3,medium,132,47520,-106.47777777777777,0.05,-82.99999999999996,-96.20000000000002,-89.4,-132.79999999999995,-119.50000000000007,-123.30000000000001,-117.49999999999994,-97.39999999999996,-99.20000000000003
dqn,3x3,medium,133,47880,-107.69999999999999,0.05,-72.30000000000001,-104.60000000000004,-100.19999999999999,-108.39999999999999,-133.20000000000007,-127.50000000000001,-112.49999999999989,-105.50000000000007,-105.09999999999988
dqn,3x3,medium,134,48240,-106.47777777777782,0.05,-76.90000000000005,-85.29999999999997,-112.60000000000014,-95.0,-148.00000000000006,-111.59999999999992,-103.10000000000005,-120.39999999999999,-105.40000000000008
dqn,3x3,medium,135,48600,-112.12222222222225,0.05,-83.99999999999997,-102.80000000000007,-123.50000000000011,-103.90000000000006,-131.59999999999997,-135.20000000000002,-90.2999999999999,-127.90000000000013,-109.9
dqn,3x3,medium,136,48960,-113.26666666666671,0.05,-92.30000000000001,-107.20000000000009,-92.00000000000007,-123.80000000000007,-123.50000000000007,-147.20000000000005,-114.2,-123.7,-95.50000000000006
dqn,3x3,medium,137,49320,-110.50000000000006,0.05,-82.90000000000002,-104.20000000000006,-83.09999999999998,-139.60000000000008,-137.6000000000001,-123.70000000000009,-111.29999999999998,-107.40000000000005,-104.70000000000005
dqn,3x3,medium,138,49680,-108.9888888888889,0.05,-72.39999999999999,-114.50000000000001,-109.99999999999999,-109.19999999999996,-149.50000000000003,-119.70000000000009,-108.20000000000005,-107.90000000000005,-89.50000000000006
