algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_C1,reward_C2
ppo,2x2,medium,77,27720,-186.67500000000013,216,-154.50000000000009,-179.1000000000001,-240.00000000000028,-173.10000000000002
ppo,2x2,medium,78,28080,-172.72500000000005,219,-154.40000000000015,-143.9,-248.49999999999991,-144.10000000000014
ppo,2x2,medium,79,28440,-164.80000000000004,222,-127.40000000000005,-159.49999999999994,-213.70000000000013,-158.6
ppo,2x2,medium,80,28800,-175.975,225,-150.8,-161.20000000000002,-234.8,-157.10000000000005
ppo,2x2,medium,81,29160,-172.70000000000005,227,-167.2,-133.90000000000003,-255.2000000000002,-134.49999999999997
ppo,2x2,medium,82,29520,-192.30000000000007,230,-192.00000000000026,-201.8000000000001,-223.80000000000007,-151.59999999999988
ppo,2x2,medium,83,29880,-175.05,233,-156.0000000000001,-162.7,-251.20000000000002,-130.3
ppo,2x2,medium,84,30240,-161.4000000000001,236,-160.99999999999997,-167.29999999999995,-170.50000000000017,-146.80000000000018
ppo,2x2,medium,85,30600,-164.02500000000003,239,-144.29999999999998,-189.80000000000007,-191.10000000000014,-130.89999999999998
ppo,2x2,medium,86,30960,-175.67500000000004,241,-173.49999999999986,-191.40000000000018,-198.50000000000006,-139.30000000000007
ppo,2x2,medium,87,31320,-160.82500000000002,244,-147.8,-174.49999999999994,-194.2000000000001,-126.80000000000004
ppo,2x2,medium,88,31680,-167.35000000000005,247,-147.10000000000022,-165.90000000000015,-184.69999999999996,-171.69999999999993
ppo,2x2,medium,89,32040,-169.7000000000001,250,-153.00000000000009,-168.9000000000001,-206.7,-150.20000000000024
ppo,2x2,medium,90,32400,-205.70000000000002,253,-211.6,-174.50000000000006,-279.59999999999997,-157.10000000000002
ppo,2x2,medium,91,32760,-157.52500000000006,255,-148.10000000000002,-149.70000000000013,-188.30000000000004,-144.0
ppo,2x2,medium,92,33120,-165.10000000000002,258,-158.1000000000001,-168.70000000000005,-185.70000000000002,-147.89999999999986
ppo,2x2,medium,93,33480,-170.3250000000001,261,-170.19999999999996,-166.00000000000023,-205.50000000000014,-139.6000000000002
ppo,2x2,medium,94,33840,-172.92500000000007,264,-164.8,-182.70000000000007,-201.0000000000002,-143.19999999999993
ppo,2x2,medium,95,34200,-156.22499999999994,267,-147.09999999999988,-154.4999999999999,-189.80000000000007,-133.49999999999991
ppo,2x2,medium,96,34560,-160.60000000000008,270,-129.10000000000002,-191.40000000000018,-172.00000000000003,-149.9000000000001
ppo,2x2,medium,97,34920,-185.05,272,-166.00000000000009,-193.9999999999999,-225.9000000000001,-154.2999999999999
ppo,2x2,medium,98,35280,-165.97500000000008,275,-149.79999999999995,-165.79999999999998,-207.90000000000032,-140.40000000000003
ppo,2x2,medium,99,35640,-177.47500000000008,278,-149.8000000000001,-180.79999999999987,-215.9000000000003,-163.4000000000001
ppo,2x2,medium,100,36000,-186.82500000000002,281,-185.79999999999995,-167.89999999999992,-238.00000000000003,-155.6000000000001
ppo,2x2,medium,101,36360,-170.8000000000001,284,-153.70000000000002,-139.20000000000013,-205.20000000000007,-185.10000000000016
ppo,2x2,medium,102,36720,-182.0250000000001,286,-209.50000000000017,-188.70000000000016,-202.99999999999997,-126.90000000000013
ppo,2x2,medium,103,37080,-172.92499999999998,289,-156.9999999999999,-186.29999999999993,-207.80000000000004,-140.6
ppo,2x2,medium,104,37440,-182.1500000000001,292,-188.90000000000012,-189.2000000000001,-205.20000000000002,-145.30000000000004
ppo,2x2,medium,105,37800,-185.2500000000001,295,-160.00000000000006,-173.20000000000005,-253.90000000000012,-153.9000000000002
ppo,2x2,medium,106,38160,-173.25,298,-165.20000000000007,-200.89999999999995,-183.79999999999998,-143.10000000000008
ppo,2x2,medium,107,38520,-166.825,300,-150.8,-156.20000000000005,-200.29999999999998,-159.99999999999994
ppo,2x2,medium,108,38880,-152.2000000000001,303,-159.8000000000001,-125.10000000000004,-187.9000000000002,-136.0
ppo,2x2,medium,109,39240,-173.87499999999997,306,-158.8999999999999,-186.00000000000003,-192.6000000000001,-157.99999999999991
ppo,2x2,medium,110,39600,-180.10000000000005,309,-156.90000000000003,-199.59999999999994,-205.2,-158.70000000000013
ppo,2x2,medium,111,39960,-166.47500000000008,312,-159.70000000000002,-171.30000000000007,-191.60000000000002,-143.3000000000002
ppo,2x2,medium,112,40320,-170.8750000000001,315,-159.50000000000009,-178.40000000000026,-199.10000000000005,-146.50000000000009
ppo,2x2,medium,113,40680,-172.67500000000013,317,-177.40000000000023,-189.89999999999998,-196.60000000000022,-126.80000000000011
ppo,2x2,medium,114,41040,-180.14999999999995,320,-162.2999999999999,-164.09999999999997,-228.20000000000005,-165.99999999999991
ppo,2x2,medium,115,41400,-167.4,323,-157.59999999999997,-170.4000000000001,-203.1,-138.50000000000003
ppo,2x2,medium,116,41760,-172.20000000000005,326,-152.1,-202.5,-208.20000000000027,-125.99999999999993
ppo,2x2,medium,117,42120,-158.15000000000003,329,-137.1,-171.5,-178.7,-145.30000000000015
ppo,2x2,medium,118,42480,-178.07500000000005,331,-163.29999999999998,-154.00000000000009,-218.60000000000016,-176.39999999999998
ppo,2x2,medium,119,42840,-173.55000000000007,334,-134.89999999999998,-177.30000000000004,-221.80000000000013,-160.20000000000002
ppo,2x2,medium,120,43200,-167.75000000000006,337,-164.09999999999997,-162.00000000000017,-177.29999999999995,-167.60000000000008
ppo,2x2,medium,121,43560,-176.37499999999997,340,-153.10000000000002,-180.89999999999984,-230.09999999999994,-141.40000000000006
ppo,2x2,medium,122,43920,-169.0750000000001,343,-159.6000000000002,-190.80000000000015,-196.30000000000007,-129.6
ppo,2x2,medium,123,44280,-183.95,345,-186.6,-180.09999999999994,-204.4000000000001,-164.7
ppo,2x2,medium,124,44640,-169.1250000000001,348,-160.00000000000014,-178.2,-207.30000000000035,-131.00000000000003
ppo,2x2,medium,125,45000,-187.175,351,-169.60000000000002,-174.19999999999996,-243.69999999999993,-161.20000000000013
ppo,2x2,medium,126,45360,-180.64999999999998,354,-142.5,-165.19999999999993,-239.40000000000003,-175.49999999999997
ppo,2x2,medium,127,45720,-154.97500000000005,357,-152.20000000000027,-147.99999999999994,-190.20000000000002,-129.5
ppo,2x2,medium,128,46080,-171.67499999999993,360,-171.1,-125.5999999999999,-216.29999999999978,-173.70000000000005
ppo,2x2,medium,129,46440,-188.99999999999997,362,-180.70000000000005,-221.6,-195.29999999999987,-158.39999999999998
ppo,2x2,medium,130,46800,-176.3000000000001,365,-156.10000000000016,-188.00000000000014,-209.69999999999996,-151.40000000000012
ppo,2x2,medium,131,47160,-162.1,368,-167.79999999999998,-134.10000000000002,-201.3000000000001,-145.1999999999999
ppo,2x2,medium,132,47520,-178.85000000000005,371,-176.50000000000009,-202.1000000000002,-192.29999999999998,-144.5
ppo,2x2,medium,133,47880,-165.39999999999998,374,-138.39999999999998,-150.19999999999985,-225.40000000000006,-147.60000000000005
ppo,2x2,medium,134,48240,-165.22500000000005,376,-152.50000000000003,-154.60000000000005,-214.00000000000006,-139.80000000000007
ppo,2x2,medium,135,48600,-186.60000000000008,379,-193.40000000000015,-205.40000000000006,-177.0,-170.60000000000008
ppo,2x2,medium,136,48960,-182.62500000000006,382,-183.90000000000006,-185.90000000000003,-216.1,-144.60000000000014
ppo,2x2,medium,137,49320,-189.325,385,-188.2,-177.4999999999999,-239.89999999999998,-151.7000000000001
ppo,2x2,medium,138,49680,-165.60000000000008,388,-154.50000000000014,-155.90000000000012,-201.09999999999994,-150.90000000000015
