algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
dqn,3x3,medium,17,6120,-157.14444444444445,-134.40000000000006,-130.50000000000006,-166.00000000000006,-181.59999999999988,-165.30000000000007,-177.89999999999998,-154.49999999999991,-170.09999999999994,-134.00000000000006
dqn,3x3,medium,18,6480,-147.03333333333336,-105.90000000000005,-133.1999999999999,-173.5000000000001,-154.29999999999995,-191.10000000000016,-178.70000000000002,-130.6999999999999,-154.4,-101.50000000000009
dqn,3x3,medium,19,6840,-151.21111111111114,-129.50000000000003,-123.69999999999996,-150.50000000000009,-167.00000000000017,-220.50000000000017,-138.7,-150.5999999999998,-131.50000000000003,-148.90000000000006
dqn,3x3,medium,20,7200,-145.92222222222225,-124.10000000000001,-161.80000000000013,-158.39999999999998,-139.8000000000001,-182.80000000000004,-147.30000000000013,-130.9,-137.60000000000014,-130.59999999999997
dqn,3x3,medium,21,7560,-141.0111111111111,-136.39999999999995,-123.20000000000003,-111.40000000000009,-141.4000000000001,-156.89999999999995,-165.2999999999999,-138.20000000000013,-143.70000000000002,-152.59999999999997
dqn,3x3,medium,22,7920,-147.8444444444445,-126.30000000000007,-128.89999999999998,-124.10000000000005,-174.80000000000004,-237.60000000000014,-151.9000000000001,-130.4,-143.0,-113.60000000000001
dqn,3x3,medium,23,8280,-155.4666666666667,-127.79999999999991,-159.30000000000007,-159.40000000000015,-158.09999999999994,-167.90000000000015,-164.4,-157.6,-162.49999999999994,-142.19999999999993
dqn,3x3,medium,24,8640,-150.48888888888894,-129.30000000000004,-136.30000000000004,-153.89999999999995,-163.89999999999995,-183.19999999999982,-162.50000000000028,-155.40000000000006,-154.10000000000005,-115.80000000000008
dqn,3x3,medium,25,9000,-152.95555555555563,-112.70000000000006,-127.79999999999994,-150.50000000000014,-232.20000000000007,-191.5000000000001,-148.89999999999995,-160.3000000000002,-133.89999999999998,-118.80000000000005
dqn,3x3,medium,26,9360,-147.02222222222224,-108.60000000000005,-147.60000000000008,-127.30000000000004,-170.2000000000001,-165.39999999999992,-118.29999999999994,-200.50000000000006,-166.10000000000002,-119.20000000000005
dqn,3x3,medium,27,9720,-136.32222222222222,-106.0,-140.5,-118.00000000000001,-109.80000000000007,-180.39999999999986,-148.00000000000003,-141.70000000000007,-140.09999999999994,-142.40000000000003
dqn,3x3,medium,28,10080,-146.98888888888894,-152.40000000000003,-125.1000000000001,-159.2,-149.60000000000008,-188.7999999999999,-161.00000000000014,-127.89999999999995,-132.2,-126.70000000000006
dqn,3x3,medium,29,10440,-149.10000000000005,-109.29999999999998,-118.00000000000001,-165.80000000000015,-201.49999999999994,-203.20000000000005,-160.5000000000002,-139.00000000000006,-125.7,-118.90000000000005
dqn,3x3,medium,30,10800,-143.6222222222223,-104.80000000000005,-112.30000000000005,-125.2,-123.60000000000005,-209.8,-186.00000000000014,-196.60000000000016,-133.39999999999998,-100.90000000000005
