algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,17,6120,-121.25555555555557,-103.30000000000004,-116.30000000000013,-111.30000000000004,-131.59999999999997,-154.3,-138.9,-107.29999999999995,-126.69999999999996,-101.60000000000004
ppo,3x3,medium,18,6480,-121.82222222222225,-104.30000000000003,-124.39999999999999,-131.00000000000006,-130.89999999999992,-146.0000000000002,-107.39999999999998,-120.40000000000009,-121.1,-110.90000000000009
ppo,3x3,medium,19,6840,-133.02222222222224,-119.9,-118.79999999999993,-138.60000000000005,-143.80000000000007,-159.60000000000005,-131.1,-122.39999999999993,-121.20000000000006,-141.80000000000004
ppo,3x3,medium,20,7200,-119.23333333333338,-98.3,-109.00000000000004,-129.60000000000005,-122.70000000000002,-150.6000000000002,-121.1,-107.90000000000005,-138.90000000000006,-94.99999999999996
ppo,3x3,medium,21,7560,-122.26666666666672,-86.90000000000005,-114.20000000000006,-93.79999999999997,-133.40000000000006,-179.0,-145.7000000000002,-126.10000000000011,-120.3000000000001,-100.99999999999993
ppo,3x3,medium,22,7920,-132.0888888888889,-102.19999999999999,-124.40000000000009,-128.19999999999987,-122.90000000000008,-168.5,-165.19999999999987,-112.90000000000005,-146.60000000000014,-117.9000000000001
ppo,3x3,medium,23,8280,-127.88888888888897,-117.50000000000006,-117.30000000000005,-120.10000000000005,-148.2000000000001,-152.70000000000016,-130.80000000000007,-112.20000000000005,-126.50000000000003,-125.70000000000005
ppo,3x3,medium,24,8640,-119.27777777777777,-79.49999999999994,-138.5,-115.20000000000005,-139.40000000000006,-143.29999999999998,-111.89999999999998,-115.00000000000001,-123.90000000000009,-106.80000000000004
ppo,3x3,medium,25,9000,-113.85555555555555,-86.89999999999999,-107.80000000000005,-99.50000000000009,-137.1,-128.3000000000001,-112.60000000000001,-123.49999999999991,-123.40000000000006,-105.59999999999997
ppo,3x3,medium,26,9360,-128.3111111111112,-84.89999999999998,-109.80000000000003,-136.7000000000001,-166.30000000000004,-174.00000000000017,-123.20000000000009,-124.20000000000005,-129.7,-106.00000000000014
ppo,3x3,medium,27,9720,-120.3777777777778,-93.20000000000009,-126.10000000000002,-113.40000000000006,-126.30000000000005,-141.2999999999999,-117.80000000000003,-130.19999999999996,-121.29999999999994,-113.8
ppo,3x3,medium,28,10080,-121.24444444444447,-104.10000000000008,-117.50000000000007,-101.10000000000004,-147.50000000000003,-158.3000000000002,-124.69999999999997,-119.49999999999999,-116.19999999999999,-102.3
ppo,3x3,medium,29,10440,-113.21111111111117,-98.09999999999995,-107.80000000000014,-104.30000000000011,-142.29999999999998,-132.90000000000006,-121.50000000000013,-104.60000000000007,-96.79999999999997,-110.60000000000018
ppo,3x3,medium,30,10800,-118.16666666666671,-97.39999999999993,-123.20000000000012,-100.40000000000015,-124.20000000000003,-128.60000000000008,-132.80000000000007,-116.5,-97.9,-142.5000000000001
